#wave(A)    	flux(maggies)	flux(ABmag)
3.685806e+03	4.903649e-09	2.077370e+01
3.711138e+03	4.811149e-09	2.079438e+01
3.736470e+03	4.806719e-09	2.079538e+01
3.761802e+03	4.940428e-09	2.076559e+01
3.787134e+03	5.007137e-09	2.075103e+01
3.812466e+03	5.118328e-09	2.072718e+01
3.837798e+03	5.167867e-09	2.071672e+01
3.863130e+03	5.232541e-09	2.070322e+01
3.888462e+03	5.315007e-09	2.068624e+01
3.913794e+03	5.408859e-09	2.066724e+01
3.939126e+03	5.461041e-09	2.065681e+01
3.964458e+03	5.468195e-09	2.065539e+01
3.989790e+03	5.559332e-09	2.063744e+01
4.015122e+03	5.631441e-09	2.062345e+01
4.040454e+03	5.465200e-09	2.065598e+01
4.065786e+03	5.693150e-09	2.061162e+01
4.091118e+03	5.534840e-09	2.064224e+01
4.116450e+03	5.864473e-09	2.057943e+01
4.141782e+03	6.092873e-09	2.053794e+01
4.167114e+03	6.124495e-09	2.053232e+01
4.192446e+03	6.195820e-09	2.051975e+01
4.217778e+03	6.234807e-09	2.051294e+01
4.243110e+03	6.232488e-09	2.051335e+01
4.268442e+03	6.081626e-09	2.053995e+01
4.293774e+03	6.218915e-09	2.051571e+01
4.319106e+03	6.317039e-09	2.049872e+01
4.344438e+03	6.388480e-09	2.048651e+01
4.369770e+03	6.516466e-09	2.046497e+01
4.395102e+03	6.573642e-09	2.045548e+01
4.420434e+03	6.736112e-09	2.042898e+01
4.445766e+03	6.913106e-09	2.040082e+01
4.471098e+03	6.836327e-09	2.041294e+01
4.496430e+03	7.131711e-09	2.036702e+01
4.521762e+03	6.723357e-09	2.043103e+01
4.547094e+03	6.772993e-09	2.042305e+01
4.572426e+03	7.070226e-09	2.037642e+01
4.597758e+03	7.215481e-09	2.035434e+01
4.610424e+03	7.285001e-09	2.034393e+01
4.623090e+03	7.831421e-09	2.026540e+01
4.648422e+03	7.822042e-09	2.026670e+01
4.673754e+03	7.513787e-09	2.031035e+01
4.699086e+03	8.191760e-09	2.021656e+01
4.724418e+03	7.902566e-09	2.025558e+01
4.749750e+03	9.117103e-09	2.010036e+01
4.775082e+03	9.752101e-09	2.002725e+01
4.800414e+03	1.089909e-08	1.990652e+01
4.825746e+03	1.193648e-08	1.980781e+01
4.851078e+03	9.903595e-09	2.001052e+01
4.876410e+03	1.252699e-08	1.975538e+01
4.901742e+03	1.348712e-08	1.967520e+01
4.927074e+03	1.050916e-08	1.994608e+01
4.952406e+03	1.421183e-08	1.961838e+01
4.977738e+03	1.158912e-08	1.983987e+01
5.003070e+03	1.364613e-08	1.966248e+01
5.028402e+03	9.491285e-09	2.005669e+01
5.053734e+03	1.526254e-08	1.954093e+01
5.079066e+03	1.660995e-08	1.944908e+01
5.104398e+03	1.677450e-08	1.943838e+01
5.129730e+03	1.681680e-08	1.943564e+01
5.155062e+03	1.645746e-08	1.945909e+01
5.180394e+03	1.563497e-08	1.951476e+01
5.205726e+03	1.375712e-08	1.965368e+01
5.231058e+03	1.696717e-08	1.942598e+01
5.256390e+03	1.764093e-08	1.938370e+01
5.281722e+03	1.779965e-08	1.937397e+01
5.307054e+03	1.792864e-08	1.936613e+01
5.332386e+03	1.822759e-08	1.934818e+01
5.357718e+03	1.813505e-08	1.935370e+01
5.383050e+03	1.852763e-08	1.933045e+01
5.408382e+03	1.814724e-08	1.935297e+01
5.433714e+03	1.812268e-08	1.935444e+01
5.459046e+03	1.707695e-08	1.941897e+01
5.484378e+03	1.679410e-08	1.943711e+01
5.509710e+03	1.558496e-08	1.951824e+01
5.535042e+03	1.961473e-08	1.926854e+01
5.560374e+03	1.936040e-08	1.928271e+01
5.585706e+03	1.982327e-08	1.925706e+01
5.611038e+03	2.025159e-08	1.923385e+01
5.636370e+03	2.059722e-08	1.921548e+01
5.661702e+03	2.108604e-08	1.919001e+01
5.687034e+03	2.132170e-08	1.917795e+01
5.712366e+03	2.275406e-08	1.910735e+01
5.737698e+03	2.164414e-08	1.916165e+01
5.763030e+03	2.196843e-08	1.914550e+01
5.788362e+03	2.308356e-08	1.909174e+01
5.813694e+03	2.249602e-08	1.911974e+01
5.839026e+03	2.307432e-08	1.909218e+01
5.864358e+03	2.274327e-08	1.910787e+01
5.889690e+03	2.320859e-08	1.908588e+01
5.915022e+03	2.373203e-08	1.906166e+01
5.940354e+03	2.351208e-08	1.907177e+01
5.965686e+03	2.303982e-08	1.909380e+01
5.991018e+03	2.404660e-08	1.904737e+01
6.016350e+03	2.454739e-08	1.902499e+01
6.041682e+03	2.469688e-08	1.901839e+01
6.067014e+03	2.475380e-08	1.901590e+01
6.092346e+03	2.463561e-08	1.902109e+01
6.117678e+03	2.480432e-08	1.901368e+01
6.143010e+03	2.221300e-08	1.913348e+01
6.168342e+03	1.962997e-08	1.926770e+01
6.193674e+03	2.448110e-08	1.902792e+01
6.219006e+03	2.510530e-08	1.900059e+01
6.244338e+03	2.499591e-08	1.900533e+01
6.269670e+03	2.600001e-08	1.896257e+01
6.295002e+03	2.604229e-08	1.896080e+01
6.320334e+03	2.509962e-08	1.900083e+01
6.345666e+03	2.444028e-08	1.902973e+01
6.370998e+03	2.553158e-08	1.898231e+01
6.396330e+03	2.559751e-08	1.897951e+01
6.421662e+03	2.656879e-08	1.893907e+01
6.446994e+03	2.596728e-08	1.896393e+01
6.472326e+03	2.643627e-08	1.894450e+01
6.497658e+03	2.605290e-08	1.896036e+01
6.522990e+03	2.568300e-08	1.897589e+01
6.548322e+03	2.497575e-08	1.900620e+01
6.573654e+03	2.544868e-08	1.898584e+01
6.598986e+03	2.635842e-08	1.894770e+01
6.624318e+03	2.702703e-08	1.892050e+01
6.649650e+03	2.784044e-08	1.888831e+01
6.674982e+03	2.609139e-08	1.895876e+01
6.700314e+03	2.827048e-08	1.887167e+01
6.725646e+03	2.911472e-08	1.883972e+01
6.750978e+03	2.747972e-08	1.890247e+01
6.776310e+03	2.910120e-08	1.884022e+01
6.801642e+03	2.922629e-08	1.883557e+01
6.826974e+03	2.897010e-08	1.884513e+01
6.852306e+03	2.875078e-08	1.885338e+01
6.877638e+03	2.928881e-08	1.883325e+01
6.902970e+03	3.012127e-08	1.880282e+01
6.928302e+03	2.972611e-08	1.881715e+01
6.953634e+03	2.994587e-08	1.880916e+01
6.978966e+03	3.001398e-08	1.880669e+01
7.004298e+03	3.055844e-08	1.878717e+01
7.029630e+03	3.105168e-08	1.876979e+01
7.054962e+03	3.086132e-08	1.877646e+01
7.080294e+03	3.058889e-08	1.878609e+01
7.105626e+03	3.147914e-08	1.875494e+01
7.130958e+03	3.144140e-08	1.875625e+01
7.156290e+03	3.175588e-08	1.874544e+01
7.181622e+03	3.149366e-08	1.875444e+01
7.206954e+03	3.232393e-08	1.872619e+01
7.232286e+03	3.198233e-08	1.873772e+01
7.257618e+03	3.371500e-08	1.868044e+01
7.282950e+03	3.299935e-08	1.870374e+01
7.308282e+03	3.352121e-08	1.868670e+01
7.333614e+03	3.294194e-08	1.870563e+01
7.358946e+03	3.393150e-08	1.867349e+01
7.384278e+03	3.468366e-08	1.864969e+01
7.409610e+03	3.420689e-08	1.866472e+01
7.434942e+03	3.439170e-08	1.865887e+01
7.460274e+03	3.273912e-08	1.871233e+01
7.485606e+03	3.452523e-08	1.865466e+01
7.510938e+03	3.480006e-08	1.864605e+01
7.536270e+03	3.499749e-08	1.863991e+01
7.561602e+03	3.554119e-08	1.862317e+01
7.586934e+03	3.533106e-08	1.862961e+01
7.612266e+03	3.520814e-08	1.863339e+01
7.637598e+03	3.596973e-08	1.861016e+01
7.662930e+03	3.657462e-08	1.859205e+01
7.688262e+03	3.678293e-08	1.858588e+01
7.713594e+03	3.610210e-08	1.860617e+01
7.738926e+03	3.635986e-08	1.859844e+01
7.764258e+03	3.537331e-08	1.862831e+01
7.789590e+03	3.592848e-08	1.861140e+01
7.814922e+03	3.541837e-08	1.862693e+01
7.840254e+03	3.689339e-08	1.858263e+01
7.865586e+03	3.695317e-08	1.858087e+01
7.890918e+03	3.636082e-08	1.859842e+01
7.916250e+03	3.560942e-08	1.862109e+01
7.941582e+03	3.721429e-08	1.857323e+01
7.966914e+03	3.782549e-08	1.855554e+01
7.992246e+03	3.707479e-08	1.857730e+01
8.017578e+03	3.769674e-08	1.855924e+01
8.042910e+03	3.779303e-08	1.855647e+01
8.068242e+03	3.794653e-08	1.855207e+01
8.093574e+03	3.875681e-08	1.852913e+01
8.118906e+03	3.843431e-08	1.853820e+01
8.144238e+03	3.893697e-08	1.852409e+01
8.169570e+03	3.898104e-08	1.852287e+01
8.194902e+03	3.924149e-08	1.851564e+01
8.220234e+03	3.880526e-08	1.852777e+01
8.245566e+03	3.979222e-08	1.850050e+01
8.270898e+03	3.973095e-08	1.850218e+01
8.296230e+03	3.803250e-08	1.854961e+01
8.321562e+03	3.442160e-08	1.865792e+01
8.346894e+03	3.975106e-08	1.850163e+01
8.372226e+03	4.085002e-08	1.847202e+01
8.397558e+03	4.092626e-08	1.846999e+01
8.422890e+03	4.110231e-08	1.846533e+01
8.448222e+03	4.076755e-08	1.847421e+01
8.473554e+03	4.165868e-08	1.845074e+01
8.498886e+03	4.090742e-08	1.847049e+01
8.524218e+03	4.185829e-08	1.844555e+01
8.549550e+03	4.159618e-08	1.845237e+01
8.574882e+03	4.208641e-08	1.843965e+01
8.600214e+03	4.200937e-08	1.844163e+01
8.625546e+03	4.232304e-08	1.843356e+01
8.650878e+03	4.283858e-08	1.842041e+01
8.676210e+03	4.232743e-08	1.843345e+01
8.701542e+03	4.309117e-08	1.841403e+01
8.726874e+03	4.374331e-08	1.839772e+01
8.752206e+03	4.380518e-08	1.839619e+01
8.777538e+03	4.379969e-08	1.839632e+01
8.802870e+03	4.385104e-08	1.839505e+01
8.828202e+03	4.434049e-08	1.838300e+01
8.853534e+03	4.446679e-08	1.837991e+01
8.878866e+03	4.385216e-08	1.839502e+01
8.904198e+03	4.471817e-08	1.837379e+01
8.929530e+03	4.497116e-08	1.836766e+01
8.954862e+03	4.436799e-08	1.838233e+01
8.980194e+03	4.407860e-08	1.838943e+01
9.005526e+03	4.360106e-08	1.840126e+01
9.030858e+03	4.335256e-08	1.840746e+01
9.056190e+03	4.364033e-08	1.840028e+01
9.081522e+03	4.412922e-08	1.838818e+01
9.106854e+03	4.362239e-08	1.840073e+01
9.132186e+03	4.481269e-08	1.837150e+01
9.157518e+03	4.545739e-08	1.835599e+01
9.182850e+03	4.592161e-08	1.834496e+01
9.208182e+03	4.625017e-08	1.833722e+01
9.233514e+03	4.574800e-08	1.834907e+01
9.258846e+03	4.685669e-08	1.832307e+01
9.284178e+03	4.722576e-08	1.831455e+01
9.309510e+03	4.763649e-08	1.830515e+01
9.334842e+03	4.854431e-08	1.828465e+01
9.360174e+03	4.798176e-08	1.829731e+01
9.385506e+03	4.786140e-08	1.830004e+01
9.410838e+03	4.869985e-08	1.828118e+01
9.436170e+03	4.907956e-08	1.827275e+01
9.461502e+03	4.950734e-08	1.826333e+01
9.486834e+03	4.957821e-08	1.826177e+01
9.512166e+03	5.023397e-08	1.824751e+01
9.537498e+03	5.087947e-08	1.823364e+01
9.562830e+03	5.138280e-08	1.822296e+01
9.588162e+03	5.129213e-08	1.822487e+01
9.613494e+03	5.103199e-08	1.823039e+01
9.638826e+03	5.086279e-08	1.823400e+01
9.664158e+03	5.097119e-08	1.823169e+01
9.689490e+03	5.098337e-08	1.823143e+01
9.714822e+03	4.978628e-08	1.825723e+01
9.740154e+03	5.100110e-08	1.823105e+01
9.765486e+03	5.060636e-08	1.823949e+01
9.790818e+03	5.100272e-08	1.823102e+01
9.816150e+03	5.092679e-08	1.823263e+01
9.841482e+03	5.156629e-08	1.821909e+01
9.866814e+03	5.225570e-08	1.820467e+01
9.892146e+03	5.241214e-08	1.820142e+01
9.917478e+03	5.237948e-08	1.820210e+01
9.942810e+03	5.214654e-08	1.820694e+01
9.968142e+03	5.275980e-08	1.819424e+01
9.993474e+03	5.218701e-08	1.820609e+01
1.001881e+04	5.157554e-08	1.821889e+01
1.004414e+04	5.175676e-08	1.821508e+01
