#wave(A)    	flux(maggies)	flux(ABmag)
5.499100e+03	1.896568e-08	1.930508e+01
5.524500e+03	1.730460e-08	1.940460e+01
5.549900e+03	2.261421e-08	1.911405e+01
5.575300e+03	2.278992e-08	1.910564e+01
5.600700e+03	2.329629e-08	1.908178e+01
5.626100e+03	2.378262e-08	1.905935e+01
5.651500e+03	2.407661e-08	1.904601e+01
5.676900e+03	2.441428e-08	1.903089e+01
5.702300e+03	2.462469e-08	1.902157e+01
5.727700e+03	2.567800e-08	1.897610e+01
5.753100e+03	2.493013e-08	1.900819e+01
5.778500e+03	2.510580e-08	1.900056e+01
5.803900e+03	2.601379e-08	1.896199e+01
5.829300e+03	2.557232e-08	1.898057e+01
5.854700e+03	2.613044e-08	1.895713e+01
5.880100e+03	2.589794e-08	1.896684e+01
5.905500e+03	2.627159e-08	1.895128e+01
5.930900e+03	2.662352e-08	1.893684e+01
5.956300e+03	2.642898e-08	1.894480e+01
5.981700e+03	2.602969e-08	1.896133e+01
6.007100e+03	2.690665e-08	1.892535e+01
6.032500e+03	2.728103e-08	1.891035e+01
6.057900e+03	2.739501e-08	1.890582e+01
6.083300e+03	2.741670e-08	1.890496e+01
6.108700e+03	2.726746e-08	1.891089e+01
6.134100e+03	2.700694e-08	1.892131e+01
6.159500e+03	2.374403e-08	1.906111e+01
6.184900e+03	2.082682e-08	1.920344e+01
6.210300e+03	2.668858e-08	1.893419e+01
6.235700e+03	2.761063e-08	1.889731e+01
6.261100e+03	2.757190e-08	1.889883e+01
6.286500e+03	2.839143e-08	1.886703e+01
6.311900e+03	2.858339e-08	1.885972e+01
6.337300e+03	2.790895e-08	1.888564e+01
6.362700e+03	2.741266e-08	1.890512e+01
6.388100e+03	2.829243e-08	1.887082e+01
6.413500e+03	2.829376e-08	1.887077e+01
6.438900e+03	2.901955e-08	1.884327e+01
6.464300e+03	2.864063e-08	1.885754e+01
6.489700e+03	2.894856e-08	1.884593e+01
6.515100e+03	2.870801e-08	1.885499e+01
6.540500e+03	2.844372e-08	1.886503e+01
6.565900e+03	2.800381e-08	1.888196e+01
6.591300e+03	2.838524e-08	1.886727e+01
6.616700e+03	2.899837e-08	1.884407e+01
6.642100e+03	2.935431e-08	1.883082e+01
6.667500e+03	2.998437e-08	1.880776e+01
6.692900e+03	2.873422e-08	1.885400e+01
6.718300e+03	3.029320e-08	1.879664e+01
6.743700e+03	3.081041e-08	1.877826e+01
6.769100e+03	2.981656e-08	1.881386e+01
6.794500e+03	3.095887e-08	1.877304e+01
6.819900e+03	3.099519e-08	1.877176e+01
6.845300e+03	3.089538e-08	1.877527e+01
6.870700e+03	3.072135e-08	1.878140e+01
6.896100e+03	3.110504e-08	1.876792e+01
6.921500e+03	3.173058e-08	1.874630e+01
6.946900e+03	3.153321e-08	1.875308e+01
6.972300e+03	3.171941e-08	1.874669e+01
6.997700e+03	3.178438e-08	1.874447e+01
7.023100e+03	3.210807e-08	1.873346e+01
7.048500e+03	3.249629e-08	1.872042e+01
7.073900e+03	3.233457e-08	1.872583e+01
7.099300e+03	3.223645e-08	1.872913e+01
7.124700e+03	3.283061e-08	1.870930e+01
7.150100e+03	3.291542e-08	1.870650e+01
7.175500e+03	3.313485e-08	1.869929e+01
7.200900e+03	3.298739e-08	1.870413e+01
7.226300e+03	3.355756e-08	1.868552e+01
7.251700e+03	3.333028e-08	1.869290e+01
7.277100e+03	3.445388e-08	1.865690e+01
7.302500e+03	3.409981e-08	1.866812e+01
7.327900e+03	3.445594e-08	1.865684e+01
7.353300e+03	3.415987e-08	1.866621e+01
7.378700e+03	3.477853e-08	1.864672e+01
7.404100e+03	3.526559e-08	1.863162e+01
7.429500e+03	3.500667e-08	1.863962e+01
7.454900e+03	3.510149e-08	1.863669e+01
7.480300e+03	3.414106e-08	1.866681e+01
7.505700e+03	3.527238e-08	1.863141e+01
7.531100e+03	3.550931e-08	1.862414e+01
7.556500e+03	3.570376e-08	1.861822e+01
7.581900e+03	3.608367e-08	1.860672e+01
7.607300e+03	3.600102e-08	1.860921e+01
7.632700e+03	3.592233e-08	1.861159e+01
7.658100e+03	3.638755e-08	1.859762e+01
7.683500e+03	3.688438e-08	1.858289e+01
7.708900e+03	3.703499e-08	1.857847e+01
7.734300e+03	3.671245e-08	1.858797e+01
7.759700e+03	3.687685e-08	1.858312e+01
7.785100e+03	3.633436e-08	1.859921e+01
7.810500e+03	3.670217e-08	1.858827e+01
7.835900e+03	3.644915e-08	1.859578e+01
7.861300e+03	3.739169e-08	1.856806e+01
7.886700e+03	3.749978e-08	1.856493e+01
7.912100e+03	3.714692e-08	1.857519e+01
7.937500e+03	3.663549e-08	1.859024e+01
7.962900e+03	3.778515e-08	1.855670e+01
7.988300e+03	3.816185e-08	1.854593e+01
8.013700e+03	3.767429e-08	1.855989e+01
8.039100e+03	3.815148e-08	1.854622e+01
8.064500e+03	3.826419e-08	1.854302e+01
8.089900e+03	3.841229e-08	1.853882e+01
8.115300e+03	3.889509e-08	1.852526e+01
8.140700e+03	3.867639e-08	1.853139e+01
8.166100e+03	3.903752e-08	1.852129e+01
8.191500e+03	3.907911e-08	1.852014e+01
8.216900e+03	3.927443e-08	1.851473e+01
8.242300e+03	3.893710e-08	1.852409e+01
8.267700e+03	3.956520e-08	1.850672e+01
8.293100e+03	3.944472e-08	1.851003e+01
8.318500e+03	3.722694e-08	1.857286e+01
8.343900e+03	3.310525e-08	1.870026e+01
8.369300e+03	3.920081e-08	1.851676e+01
8.394700e+03	4.041237e-08	1.848371e+01
8.420100e+03	4.070201e-08	1.847596e+01
8.445500e+03	4.087626e-08	1.847132e+01
8.470900e+03	4.074832e-08	1.847473e+01
8.496300e+03	4.139930e-08	1.845752e+01
8.521700e+03	4.102007e-08	1.846751e+01
8.547100e+03	4.163389e-08	1.845138e+01
8.572500e+03	4.153887e-08	1.845386e+01
8.597900e+03	4.190037e-08	1.844446e+01
8.623300e+03	4.194201e-08	1.844338e+01
8.648700e+03	4.209839e-08	1.843934e+01
8.674100e+03	4.244309e-08	1.843048e+01
8.699500e+03	4.218388e-08	1.843713e+01
8.724900e+03	4.269903e-08	1.842395e+01
8.750300e+03	4.314239e-08	1.841274e+01
8.775700e+03	4.315625e-08	1.841239e+01
8.801100e+03	4.315570e-08	1.841240e+01
8.826500e+03	4.315129e-08	1.841252e+01
8.851900e+03	4.349713e-08	1.840385e+01
8.877300e+03	4.361183e-08	1.840099e+01
8.902700e+03	4.322958e-08	1.841055e+01
8.928100e+03	4.386545e-08	1.839469e+01
8.953500e+03	4.412758e-08	1.838822e+01
8.978900e+03	4.374793e-08	1.839761e+01
9.004300e+03	4.365776e-08	1.839985e+01
9.029700e+03	4.340900e-08	1.840605e+01
9.055100e+03	4.332829e-08	1.840807e+01
9.080500e+03	4.352365e-08	1.840319e+01
9.105900e+03	4.391991e-08	1.839335e+01
9.131300e+03	4.357066e-08	1.840201e+01
9.156700e+03	4.430420e-08	1.838389e+01
9.182100e+03	4.474119e-08	1.837323e+01
9.207500e+03	4.503572e-08	1.836611e+01
9.232900e+03	4.524293e-08	1.836112e+01
9.258300e+03	4.489576e-08	1.836949e+01
