#wave(A)    	flux(maggies)	flux(ABmag)
2.482850e+03	2.775193e-09	2.139177e+01
2.498090e+03	2.831593e-09	2.136992e+01
2.509520e+03	2.813071e-09	2.137705e+01
2.519680e+03	2.828560e-09	2.137109e+01
2.533650e+03	2.836688e-09	2.136797e+01
2.546350e+03	2.814369e-09	2.137655e+01
2.559050e+03	2.808000e-09	2.137901e+01
2.571750e+03	2.811288e-09	2.137774e+01
2.584450e+03	2.909772e-09	2.134035e+01
2.597150e+03	2.964202e-09	2.132023e+01
2.609850e+03	2.928537e-09	2.133337e+01
2.622550e+03	2.951506e-09	2.132489e+01
2.633980e+03	3.054894e-09	2.128751e+01
2.639060e+03	3.081995e-09	2.127792e+01
2.647950e+03	3.091809e-09	2.127447e+01
2.660650e+03	3.077642e-09	2.127945e+01
2.673350e+03	3.086214e-09	2.127643e+01
2.686050e+03	3.126200e-09	2.126246e+01
2.698750e+03	3.144530e-09	2.125611e+01
2.711450e+03	3.063889e-09	2.128432e+01
2.724150e+03	3.200565e-09	2.123693e+01
2.736850e+03	3.202334e-09	2.123633e+01
2.749550e+03	3.138918e-09	2.125805e+01
2.762250e+03	3.167664e-09	2.124815e+01
2.774950e+03	3.236519e-09	2.122480e+01
2.787650e+03	3.372856e-09	2.118001e+01
2.800350e+03	3.311886e-09	2.119981e+01
2.813050e+03	3.227895e-09	2.122770e+01
2.825750e+03	3.262552e-09	2.121611e+01
2.838450e+03	3.473884e-09	2.114796e+01
2.851150e+03	3.394664e-09	2.117301e+01
2.863850e+03	3.324437e-09	2.119570e+01
2.876550e+03	3.309620e-09	2.120055e+01
2.889250e+03	3.465970e-09	2.115044e+01
2.901950e+03	3.542103e-09	2.112685e+01
2.914650e+03	3.461242e-09	2.115192e+01
2.927350e+03	3.556226e-09	2.112253e+01
2.940050e+03	3.564808e-09	2.111991e+01
2.952750e+03	3.299383e-09	2.120392e+01
2.965450e+03	3.524917e-09	2.113213e+01
2.978150e+03	3.319195e-09	2.119742e+01
2.990850e+03	3.633605e-09	2.109916e+01
3.003550e+03	3.417523e-09	2.116572e+01
3.016250e+03	3.606957e-09	2.110715e+01
3.028950e+03	3.319102e-09	2.119745e+01
3.041650e+03	3.553111e-09	2.112348e+01
3.054350e+03	3.531337e-09	2.113015e+01
3.067050e+03	3.599659e-09	2.110935e+01
3.079750e+03	3.833142e-09	2.104111e+01
3.092450e+03	3.777625e-09	2.105695e+01
3.105150e+03	3.913991e-09	2.101845e+01
3.117850e+03	3.929920e-09	2.101404e+01
3.130550e+03	3.919075e-09	2.101704e+01
3.143250e+03	3.850235e-09	2.103628e+01
3.155950e+03	3.891673e-09	2.102466e+01
3.168650e+03	3.868772e-09	2.103107e+01
3.181350e+03	4.172322e-09	2.094906e+01
3.191510e+03	3.948343e-09	2.100896e+01
3.197860e+03	3.872823e-09	2.102993e+01
3.206750e+03	3.782435e-09	2.105557e+01
3.219450e+03	3.847602e-09	2.103702e+01
3.232150e+03	3.915341e-09	2.101808e+01
3.244850e+03	4.160029e-09	2.095226e+01
3.257550e+03	4.150784e-09	2.095467e+01
3.270250e+03	4.343844e-09	2.090531e+01
3.282950e+03	4.382803e-09	2.089562e+01
3.295650e+03	4.362969e-09	2.090054e+01
3.308350e+03	4.288623e-09	2.091921e+01
3.321050e+03	4.229897e-09	2.093418e+01
3.333750e+03	4.452101e-09	2.087859e+01
3.346450e+03	4.601798e-09	2.084268e+01
3.359150e+03	5.000569e-09	2.075245e+01
3.371850e+03	5.097811e-09	2.073154e+01
3.384550e+03	4.905102e-09	2.077338e+01
