,band,telescope,obsmjd,mag,mag_err,alert,Unnamed: 0
159,ZTF_r,P48,58632.30057869999,18.68011807256221,0.0217794192345819,False,
160,ZTF_r,P48,58632.3015509,18.657773764526087,0.0246897474262597,False,
161,ZTF_r,P48,58632.33052080001,18.666701730635392,0.021158626374171,False,
162,ZTF_g,P48,58632.3366551,18.64375928585301,0.0157073185859504,False,
163,ZTF_g,P48,58632.3375579,18.63312859657419,0.0156097883309103,False,
164,ZTF_g,P48,58632.425138900006,18.65820231424745,0.0191283563356034,False,
165,ZTF_g,P48,58632.4390046,18.757560927705597,0.0237760479291936,False,
166,ZTF_i,P48,58633.2830556,18.57113618521725,0.0344394435039821,False,
167,ZTF_r,P48,58633.35364580001,18.65546681242064,0.0189509154211077,False,
168,ZTF_r,P48,58633.3540972,18.66732687783373,0.019473113751565,False,
169,ZTF_r,P48,58634.3540625,18.6533891120764,0.017671619433456,False,
170,ZTF_r,P48,58634.354513900005,18.605160170838456,0.0175548635831595,False,
171,ZTF_r,P48,58635.2856944,18.574881777748946,0.0139019559082139,False,
172,ZTF_r,P48,58635.28660880001,18.52567272050646,0.013351727885686,False,
173,ZTF_r,P48,58635.358125,18.578888730920863,0.0164685534363165,False,
174,ZTF_r,P48,58635.3790972,18.58259855497413,0.0137510015251542,False,
175,ZTF_g,P48,58635.4200694,18.61092361446337,0.0141806474867232,False,
176,ZTF_g,P48,58635.4209838,18.588665808183425,0.0131428391080972,False,
177,ZTF_g,P48,58635.4428125,18.610589065434628,0.0153631968359827,False,
178,ZTF_g,P48,58635.475162,18.573199005933443,0.0281502314094897,False,
179,ZTF_i,P48,58636.29833330001,18.4783662942659,0.0262374408671451,False,
180,ZTF_g,P48,58637.2663079,18.560999068859537,0.0149088621153359,False,
181,ZTF_r,P48,58637.315706,18.508104933344303,0.0161917370717831,False,
182,ZTF_r,P48,58637.33469909999,18.51976786927452,0.0150191095435481,False,
183,ZTF_g,P48,58637.4413426,18.51819647471104,0.0144383158855504,False,
184,ZTF_r,P48,58638.268171300006,18.49022492923146,0.0151924446033279,False,
185,ZTF_r,P48,58638.288287,18.46495803361818,0.0140869620291978,False,
186,ZTF_r,P48,58638.2892014,18.47568518153956,0.0155304597840679,False,
187,ZTF_r,P48,58638.310625,18.52947172021932,0.0152714074020278,False,
188,ZTF_g,P48,58638.3517014,18.528633538486645,0.0146210562334604,False,
189,ZTF_g,P48,58638.3525926,18.58616082227711,0.0149915371484993,False,
