,obsmjd,filter_id,flux,flux_err,mag,mag_err,magzp,magzp_err
90,59075.193,1,404.38969438992007,64.45333180475053,19.6571464538574,0.173046007752419,26.1741466522217,3.24799998452363e-06
91,59075.2159,2,507.69159734816,53.43048311518649,19.4229278564453,0.11426343023777,26.1869277954102,1.66140000601445e-06
92,59078.1848,2,493.8552795293459,60.0892582551497,19.5408020019531,0.132103890180588,26.2748012542725,1.81949997113406e-06
93,59078.2081,1,389.40357368083085,56.65136815189055,19.7304058074951,0.157952383160591,26.2064056396484,3.17479998557246e-06
94,59081.2038,2,485.7363491081671,64.38158563611955,19.3965091705322,0.143906578421593,26.1125106811523,1.61139996635029e-06
95,59081.2347,1,317.97973610408997,49.523690294847526,19.6993637084961,0.169093802571297,25.9553623199463,4.01130000682315e-06
96,59095.1549,2,478.1891985700333,68.01768918459346,19.570629119873,0.15443317592144,26.2696285247803,2.11730002774857e-06
97,59098.1561,2,436.1143452674862,64.17030575300039,19.695499420166,0.159754723310471,26.2945003509521,1.64539994784718e-06
98,59098.2004,1,400.31347346034306,74.5391571529796,19.7017021179199,0.202162712812424,26.2077026367188,3.56390000888496e-06
99,59099.1329,2,390.84073100771724,51.8296502166453,19.708568572998,0.143978655338287,26.1885681152344,1.58800003191573e-06
100,59099.1663,1,322.9977699887452,50.5044774421288,19.8667507171631,0.16976423561573,26.1397495269775,3.35959998665203e-06
